date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-08-01,25,15,0.0,14.5,6,82,06:36 PM,01:27 AM,04:17 AM,07:38 PM,12,20,21,20,9,10,64,0.0,1017,25,10,105,6,wroclaw
2020-08-02,28,15,0.0,14.5,6,90,07:23 PM,02:25 AM,04:19 AM,07:36 PM,14,22,22,22,20,29,65,3.0,1012,28,10,175,13,wroclaw
2020-08-03,19,17,0.0,9.5,4,97,07:59 PM,03:32 AM,04:20 AM,07:35 PM,16,18,18,18,17,94,89,20.7,1009,19,9,306,12,wroclaw
2020-08-04,15,9,0.0,9.4,3,100,08:26 PM,04:43 AM,04:22 AM,07:33 PM,14,13,15,13,26,95,93,20.2,1010,15,5,247,18,wroclaw
2020-08-05,23,13,0.0,14.5,5,88,08:48 PM,05:55 AM,04:23 AM,07:31 PM,12,18,18,18,15,29,68,0.0,1020,23,10,170,9,wroclaw
2020-08-06,25,15,0.0,12.5,5,81,09:07 PM,07:05 AM,04:25 AM,07:30 PM,14,20,21,20,17,38,70,0.0,1022,25,10,73,11,wroclaw
2020-08-07,30,19,0.0,14.5,7,74,09:23 PM,08:14 AM,04:26 AM,07:28 PM,17,25,25,24,17,32,69,0.1,1022,30,10,99,11,wroclaw
2020-08-08,30,20,0.0,13.5,6,67,09:39 PM,09:21 AM,04:28 AM,07:26 PM,18,26,26,25,13,30,67,0.0,1021,30,10,88,8,wroclaw
2020-08-09,29,21,0.0,12.4,6,59,09:55 PM,10:27 AM,04:29 AM,07:24 PM,18,27,27,25,10,48,63,0.5,1019,29,10,73,6,wroclaw
2020-08-10,30,22,0.0,10.4,6,52,10:11 PM,11:34 AM,04:31 AM,07:22 PM,18,27,27,25,12,63,65,0.5,1017,30,10,72,8,wroclaw
2020-08-11,28,20,0.0,13.5,6,45,10:31 PM,12:41 PM,04:33 AM,07:20 PM,17,24,24,23,18,31,68,0.8,1019,28,10,57,11,wroclaw
2020-08-12,27,19,0.0,14.5,6,38,10:55 PM,01:50 PM,04:34 AM,07:18 PM,14,23,23,22,17,3,63,0.0,1020,27,10,87,12,wroclaw
2020-08-13,26,16,0.0,14.5,6,30,11:26 PM,02:58 PM,04:36 AM,07:17 PM,13,22,22,21,20,15,62,0.0,1016,26,10,110,12,wroclaw
2020-08-14,29,18,0.0,14.5,7,23,No moonrise,04:05 PM,04:37 AM,07:15 PM,13,24,24,24,20,17,55,0.0,1014,29,10,103,12,wroclaw
2020-08-15,24,19,0.0,12.4,5,16,12:05 AM,05:07 PM,04:39 AM,07:13 PM,16,22,22,21,14,50,71,2.2,1014,24,10,91,9,wroclaw
2020-08-16,26,18,0.0,13.4,6,8,12:57 AM,06:00 PM,04:40 AM,07:11 PM,15,22,22,21,18,30,68,0.3,1015,26,10,86,12,wroclaw
2020-08-17,28,18,0.0,14.5,6,1,02:01 AM,06:43 PM,04:42 AM,07:09 PM,16,24,24,23,10,23,67,0.0,1010,28,10,158,6,wroclaw
2020-08-18,23,19,0.0,11.3,5,0,03:16 AM,07:18 PM,04:44 AM,07:07 PM,17,21,22,21,18,49,77,7.8,1008,23,9,284,11,wroclaw
2020-08-19,24,17,0.0,11.3,5,0,04:38 AM,07:46 PM,04:45 AM,07:05 PM,16,20,21,20,25,56,78,15.0,1009,24,9,293,15,wroclaw
2020-08-20,28,17,0.0,14.5,6,6,06:03 AM,08:09 PM,04:47 AM,07:02 PM,15,23,23,23,10,10,63,0.0,1013,28,10,237,6,wroclaw
2020-08-21,30,19,0.0,14.5,7,13,07:28 AM,08:30 PM,04:48 AM,07:00 PM,16,26,26,24,17,9,60,0.0,1015,30,10,166,11,wroclaw
2020-08-22,27,21,0.0,11.1,6,20,08:52 AM,08:50 PM,04:50 AM,06:58 PM,19,25,25,24,18,41,74,4.4,1015,27,10,242,12,wroclaw
2020-08-23,24,17,0.0,12.2,5,28,10:16 AM,09:11 PM,04:51 AM,06:56 PM,14,20,21,20,20,46,69,0.3,1015,24,10,258,13,wroclaw
2020-08-24,23,15,0.0,11.1,5,35,11:39 AM,09:35 PM,04:53 AM,06:54 PM,13,19,19,19,16,43,68,1.9,1014,23,10,255,10,wroclaw
2020-08-25,23,15,0.0,14.0,5,42,01:01 PM,10:03 PM,04:55 AM,06:52 PM,12,18,19,18,17,29,66,0.1,1014,23,10,255,11,wroclaw
2020-08-26,25,17,0.0,12.2,5,50,02:19 PM,10:38 PM,04:56 AM,06:50 PM,11,20,21,20,37,49,57,0.1,1008,25,10,230,25,wroclaw
2020-08-27,19,15,0.0,11.0,4,57,03:31 PM,11:23 PM,04:58 AM,06:48 PM,10,17,17,17,39,68,66,0.0,1012,19,10,271,27,wroclaw
2020-08-28,24,13,0.0,13.9,5,64,04:32 PM,No moonset,04:59 AM,06:45 PM,11,18,18,18,17,17,64,0.7,1010,24,10,192,12,wroclaw
2020-08-29,23,16,0.0,9.6,5,71,05:22 PM,12:17 AM,05:01 AM,06:43 PM,14,19,20,19,11,78,75,20.7,1006,23,9,219,8,wroclaw
2020-08-30,20,17,0.0,8.4,4,79,06:00 PM,01:21 AM,05:03 AM,06:41 PM,15,18,18,18,13,91,84,1.9,1006,20,7,91,9,wroclaw
2020-08-31,21,14,0.0,9.6,4,82,06:29 PM,02:29 AM,05:04 AM,06:39 PM,13,16,17,16,19,77,80,3.5,1012,21,8,289,14,wroclaw
2020-09-01,15,9,0.0,8.3,3,97,06:52 PM,03:41 AM,05:06 AM,06:37 PM,12,12,13,12,22,81,89,46.9,1013,15,7,80,15,wroclaw
2020-09-02,18,11,0.0,13.3,4,100,07:12 PM,04:51 AM,05:07 AM,06:34 PM,10,13,14,13,22,56,77,0.3,1016,18,10,279,15,wroclaw
2020-09-03,19,12,0.0,12.0,4,88,07:29 PM,06:01 AM,05:09 AM,06:32 PM,9,14,15,14,22,48,70,0.1,1020,19,10,254,13,wroclaw
2020-09-04,23,14,0.0,8.3,4,81,07:44 PM,07:09 AM,05:10 AM,06:30 PM,12,18,18,18,21,71,70,0.5,1022,23,10,235,13,wroclaw
2020-09-05,23,15,0.0,12.0,5,73,08:00 PM,08:15 AM,05:12 AM,06:28 PM,15,19,19,19,21,51,79,1.5,1017,23,10,248,14,wroclaw
2020-09-06,18,14,0.0,10.7,4,66,08:16 PM,09:22 AM,05:14 AM,06:25 PM,12,16,16,16,10,59,79,0.0,1017,18,10,303,7,wroclaw
2020-09-07,19,14,0.0,13.1,4,58,08:34 PM,10:29 AM,05:15 AM,06:23 PM,9,16,16,16,14,41,64,0.4,1021,19,10,308,9,wroclaw
2020-09-08,22,12,0.0,13.0,5,50,08:56 PM,11:37 AM,05:17 AM,06:21 PM,10,16,17,16,19,12,66,0.0,1026,22,10,246,12,wroclaw
2020-09-09,24,15,0.0,13.0,6,43,09:23 PM,12:44 PM,05:18 AM,06:19 PM,11,19,20,19,17,26,62,0.0,1022,24,10,230,10,wroclaw
2020-09-10,19,16,0.0,10.7,4,35,09:57 PM,01:51 PM,05:20 AM,06:16 PM,11,18,18,18,20,55,67,0.8,1019,19,9,289,14,wroclaw
2020-09-11,24,12,0.0,12.9,5,28,10:42 PM,02:54 PM,05:21 AM,06:14 PM,10,18,18,18,8,8,66,0.0,1019,24,10,124,5,wroclaw
2020-09-12,26,14,0.0,12.9,6,20,11:40 PM,03:50 PM,05:23 AM,06:12 PM,13,21,21,20,18,19,65,0.0,1017,26,10,179,11,wroclaw
2020-09-13,26,16,0.0,12.9,6,13,No moonrise,04:37 PM,05:25 AM,06:10 PM,14,20,21,20,12,10,69,0.0,1025,26,10,278,7,wroclaw
2020-09-14,27,17,0.0,12.8,6,5,12:49 AM,05:15 PM,05:26 AM,06:07 PM,14,23,23,22,10,17,65,0.0,1027,27,10,150,6,wroclaw
2020-09-15,30,18,0.0,12.8,7,0,02:08 AM,05:45 PM,05:28 AM,06:05 PM,15,25,25,24,19,2,63,0.0,1024,30,10,141,11,wroclaw
2020-09-16,28,20,0.0,12.7,7,0,03:32 AM,06:10 PM,05:29 AM,06:03 PM,15,25,25,24,17,16,62,0.7,1018,28,10,223,11,wroclaw
2020-09-17,17,13,0.0,10.6,4,0,04:58 AM,06:32 PM,05:31 AM,06:01 PM,10,16,16,16,21,50,70,1.2,1023,17,10,145,14,wroclaw
2020-09-18,19,9,0.0,11.6,5,2,06:25 AM,06:52 PM,05:33 AM,05:59 PM,5,13,14,13,9,4,59,0.0,1029,19,10,63,6,wroclaw
2020-09-19,20,10,0.0,11.6,5,10,07:52 AM,07:13 PM,05:34 AM,05:56 PM,5,14,15,14,15,6,53,0.0,1024,20,10,112,10,wroclaw
2020-09-20,22,11,0.0,11.6,5,17,09:19 AM,07:36 PM,05:36 AM,05:54 PM,7,15,17,15,19,6,58,0.0,1020,22,10,107,12,wroclaw
2020-09-21,25,12,0.0,11.6,6,25,10:45 AM,08:03 PM,05:37 AM,05:52 PM,10,18,19,18,15,10,63,0.0,1017,25,10,129,9,wroclaw
2020-09-22,25,14,0.0,11.6,6,32,12:08 PM,08:36 PM,05:39 AM,05:50 PM,9,19,20,19,20,8,52,0.0,1013,25,10,165,12,wroclaw
2020-09-23,24,15,0.0,11.6,6,40,01:24 PM,09:18 PM,05:40 AM,05:47 PM,12,19,20,19,20,25,61,0.5,1008,24,10,184,12,wroclaw
2020-09-24,24,15,0.0,11.6,6,47,02:29 PM,10:10 PM,05:42 AM,05:45 PM,13,19,20,19,15,20,68,0.0,1007,24,10,207,9,wroclaw
2020-09-25,18,11,0.0,6.0,4,55,03:23 PM,11:12 PM,05:44 AM,05:43 PM,12,14,15,14,27,83,81,13.3,1000,18,7,215,18,wroclaw
2020-09-26,16,6,0.0,7.4,3,62,04:03 PM,No moonset,05:45 AM,05:41 PM,9,10,12,10,27,66,80,20.9,993,16,9,176,21,wroclaw
2020-09-27,13,8,0.0,6.0,3,70,04:34 PM,12:19 AM,05:47 AM,05:38 PM,6,9,11,9,17,71,73,0.1,1003,13,10,223,11,wroclaw
2020-09-28,12,9,0.0,7.4,3,78,04:59 PM,01:30 AM,05:48 AM,05:36 PM,7,10,10,10,12,56,79,0.7,1011,12,8,175,7,wroclaw
2020-09-29,15,8,0.0,5.9,3,85,05:19 PM,02:40 AM,05:50 AM,05:34 PM,10,11,12,11,22,94,86,3.2,1013,15,8,305,15,wroclaw
2020-09-30,17,11,0.0,5.9,3,93,05:36 PM,03:50 AM,05:51 AM,05:32 PM,10,12,13,12,23,94,84,0.3,1014,17,9,319,16,wroclaw
2020-10-01,14,11,0.0,5.9,3,97,05:51 PM,04:58 AM,05:53 AM,05:29 PM,10,11,12,11,14,91,88,2.6,1008,14,8,271,10,wroclaw
2020-10-02,16,11,0.0,5.9,3,100,06:06 PM,06:05 AM,05:55 AM,05:27 PM,11,13,13,13,18,86,87,0.9,1004,16,7,114,12,wroclaw
2020-10-03,23,13,0.0,11.6,5,89,06:21 PM,07:12 AM,05:56 AM,05:25 PM,12,17,18,17,35,17,69,0.0,997,23,10,139,21,wroclaw
2020-10-04,20,15,0.0,8.7,4,82,06:39 PM,08:19 AM,05:58 AM,05:23 PM,12,18,18,18,29,52,68,2.0,1000,20,10,167,18,wroclaw
